# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit EE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  2.00000000e+00  3.21909033e-02  5.84014034e-02  5.84014034e-02
  3.00000000e+00  4.19675242e-02  3.76628340e-02  3.76628340e-02
  4.00000000e+00  3.70116078e-02  2.23823070e-02  2.23823070e-02
  5.00000000e+00  2.51515131e-02  1.54840113e-02  1.54840113e-02
  6.00000000e+00  1.42673246e-02  1.28867537e-02  1.28867537e-02
  7.00000000e+00  7.69910182e-03  9.77425740e-03  9.77425740e-03
  8.00000000e+00  4.87234474e-03  8.36972272e-03  8.36972272e-03
  9.00000000e+00  3.86936741e-03  1.01575796e-02  1.01575796e-02
  1.00000000e+01  3.31627888e-03  9.29213672e-03  9.29213672e-03
  1.10000000e+01  2.80390539e-03  9.63762878e-03  9.63762878e-03
  1.20000000e+01  2.43584305e-03  9.59240460e-03  9.59240460e-03
  1.30000000e+01  2.31257213e-03  9.98389789e-03  9.98389789e-03
  1.40000000e+01  2.38629830e-03  1.09577565e-02  1.09577565e-02
  1.50000000e+01  2.56392165e-03  1.11603803e-02  1.11603803e-02
  1.60000000e+01  2.80725309e-03  1.20291342e-02  1.20291342e-02
  1.70000000e+01  3.15949503e-03  1.20495522e-02  1.20495522e-02
  1.80000000e+01  3.67017284e-03  1.44812423e-02  1.44812423e-02
  1.90000000e+01  4.34924908e-03  1.39938915e-02  1.39938915e-02
  2.00000000e+01  5.17865003e-03  1.40576607e-02  1.40576607e-02
  2.10000000e+01  6.14815396e-03  1.64376873e-02  1.64376873e-02
  2.20000000e+01  7.26416564e-03  1.66024584e-02  1.66024584e-02
  2.30000000e+01  8.51945898e-03  1.72010047e-02  1.72010047e-02
  2.40000000e+01  9.91229289e-03  1.90318732e-02  1.90318732e-02
  2.50000000e+01  1.14455882e-02  1.98584656e-02  1.98584656e-02
  2.60000000e+01  1.31292964e-02  1.97092158e-02  1.97092158e-02
  2.70000000e+01  1.49721968e-02  2.03015107e-02  2.03015107e-02
  2.80000000e+01  1.69673082e-02  2.20252054e-02  2.20252054e-02
  2.90000000e+01  1.91445004e-02  2.25260439e-02  2.25260439e-02
  3.00000000e+01  2.15357404e-02  8.72020426e-02  8.72020426e-02
  3.10000000e+01  2.41353965e-02  8.67111231e-02  8.67111231e-02
  3.20000000e+01  2.69570406e-02  8.62970836e-02  8.62970836e-02
  3.30000000e+01  2.99612266e-02  8.60973945e-02  8.60973945e-02
  3.40000000e+01  3.31751460e-02  8.60302462e-02  8.60302462e-02
  3.50000000e+01  3.66083147e-02  8.60910407e-02  8.60910407e-02
  3.60000000e+01  4.02906230e-02  8.62736557e-02  8.62736557e-02
  3.70000000e+01  4.42418635e-02  8.65762935e-02  8.65762935e-02
  3.80000000e+01  4.84446000e-02  8.69901695e-02  8.69901695e-02
  3.90000000e+01  5.28899591e-02  8.75076986e-02  8.75076986e-02
  4.00000000e+01  5.75738259e-02  8.81207621e-02  8.81207621e-02
  4.10000000e+01  6.24956381e-02  8.88299300e-02  8.88299300e-02
  4.20000000e+01  6.76685264e-02  8.96235832e-02  8.96235832e-02
  4.30000000e+01  7.31088768e-02  9.04984492e-02  9.04984492e-02
  4.40000000e+01  7.88309205e-02  9.14533387e-02  9.14533387e-02
  4.50000000e+01  8.48460656e-02  9.24872731e-02  9.24872731e-02
  4.60000000e+01  9.11611038e-02  9.35984698e-02  9.35984698e-02
  4.70000000e+01  9.77761010e-02  9.47849865e-02  9.47849865e-02
  4.80000000e+01  1.04682570e-01  9.60443150e-02  9.60443150e-02
  4.90000000e+01  1.11871281e-01  9.73738704e-02  9.73738704e-02
  5.00000000e+01  1.19344144e-01  9.87706203e-02  9.87706203e-02
  5.10000000e+01  1.27104572e-01  1.00231925e-01  1.00231925e-01
  5.20000000e+01  1.35157528e-01  1.01755903e-01  1.01755903e-01
  5.30000000e+01  1.43505016e-01  1.03340658e-01  1.03340658e-01
  5.40000000e+01  1.52149785e-01  1.04982925e-01  1.04982925e-01
  5.50000000e+01  1.61096070e-01  1.06679698e-01  1.06679698e-01
  5.60000000e+01  1.70341147e-01  1.08434989e-01  1.08434989e-01
  5.70000000e+01  1.79881219e-01  1.10243326e-01  1.10243326e-01
  5.80000000e+01  1.89714446e-01  1.12101046e-01  1.12101046e-01
  5.90000000e+01  1.99839729e-01  1.14005819e-01  1.14005819e-01
  6.00000000e+01  2.10248545e-01  1.15956600e-01  1.15956600e-01
  6.10000000e+01  2.20933411e-01  1.17956344e-01  1.17956344e-01
  6.20000000e+01  2.31891029e-01  1.20003614e-01  1.20003614e-01
  6.30000000e+01  2.43119888e-01  1.22092737e-01  1.22092737e-01
  6.40000000e+01  2.54617733e-01  1.24222186e-01  1.24222186e-01
  6.50000000e+01  2.66384540e-01  1.26390546e-01  1.26390546e-01
  6.60000000e+01  2.78413557e-01  1.28596418e-01  1.28596418e-01
  6.70000000e+01  2.90697866e-01  1.30838482e-01  1.30838482e-01
  6.80000000e+01  3.03227539e-01  1.33115313e-01  1.33115313e-01
  6.90000000e+01  3.15994876e-01  1.35424903e-01  1.35424903e-01
  7.00000000e+01  3.28992921e-01  1.37765209e-01  1.37765209e-01
  7.10000000e+01  3.42217211e-01  1.40134227e-01  1.40134227e-01
  7.20000000e+01  3.55663606e-01  1.42530069e-01  1.42530069e-01
  7.30000000e+01  3.69326747e-01  1.44950781e-01  1.44950781e-01
  7.40000000e+01  3.83195333e-01  1.47394576e-01  1.47394576e-01
  7.50000000e+01  3.97257321e-01  1.49859664e-01  1.49859664e-01
  7.60000000e+01  4.11498527e-01  1.52344290e-01  1.52344290e-01
  7.70000000e+01  4.25908095e-01  1.54846767e-01  1.54846767e-01
  7.80000000e+01  4.40473768e-01  1.57365444e-01  1.57365444e-01
  7.90000000e+01  4.55184038e-01  1.59898708e-01  1.59898708e-01
  8.00000000e+01  4.70027395e-01  1.62444988e-01  1.62444988e-01
  8.10000000e+01  4.84992374e-01  1.65002756e-01  1.65002756e-01
  8.20000000e+01  5.00069176e-01  1.67570451e-01  1.67570451e-01
  8.30000000e+01  5.15246559e-01  1.70146258e-01  1.70146258e-01
  8.40000000e+01  5.30514030e-01  1.72728342e-01  1.72728342e-01
  8.50000000e+01  5.45860349e-01  1.75314910e-01  1.75314910e-01
  8.60000000e+01  5.61276201e-01  1.77904209e-01  1.77904209e-01
  8.70000000e+01  5.76748070e-01  1.80494519e-01  1.80494519e-01
  8.80000000e+01  5.92262871e-01  1.83084244e-01  1.83084244e-01
  8.90000000e+01  6.07807527e-01  1.85671761e-01  1.85671761e-01
  9.00000000e+01  6.23364501e-01  1.88255386e-01  1.88255386e-01
  9.10000000e+01  6.38920208e-01  1.90833380e-01  1.90833380e-01
  9.20000000e+01  6.54459761e-01  1.93404028e-01  1.93404028e-01
  9.30000000e+01  6.69968510e-01  1.95965630e-01  1.95965630e-01
  9.40000000e+01  6.85434035e-01  1.98516547e-01  1.98516547e-01
  9.50000000e+01  7.00840947e-01  2.01055160e-01  2.01055160e-01
  9.60000000e+01  7.16175345e-01  2.03579879e-01  2.03579879e-01
  9.70000000e+01  7.31422586e-01  2.06089164e-01  2.06089164e-01
  9.80000000e+01  7.46567288e-01  2.08581490e-01  2.08581490e-01
  9.90000000e+01  7.61595558e-01  2.11055443e-01  2.11055443e-01
  1.00000000e+02  7.76495731e-01  2.13509618e-01  2.13509618e-01
  1.01000000e+02  7.91253175e-01  2.15942640e-01  2.15942640e-01
  1.02000000e+02  8.05845833e-01  2.18353168e-01  2.18353168e-01
  1.03000000e+02  8.20273934e-01  2.20739915e-01  2.20739915e-01
  1.04000000e+02  8.34507997e-01  2.23101616e-01  2.23101616e-01
  1.05000000e+02  8.48540828e-01  2.25436971e-01  2.25436971e-01
  1.06000000e+02  8.62357808e-01  2.27744731e-01  2.27744731e-01
  1.07000000e+02  8.75951748e-01  2.30023728e-01  2.30023728e-01
  1.08000000e+02  8.89300606e-01  2.32272764e-01  2.32272764e-01
  1.09000000e+02  9.02397199e-01  2.34490641e-01  2.34490641e-01
  1.10000000e+02  9.15219490e-01  2.36676277e-01  2.36676277e-01
  1.11000000e+02  9.27760241e-01  2.38828502e-01  2.38828502e-01
  1.12000000e+02  9.40011976e-01  2.40946279e-01  2.40946279e-01
  1.13000000e+02  9.51952308e-01  2.43028481e-01  2.43028481e-01
  1.14000000e+02  9.63566277e-01  2.45074076e-01  2.45074076e-01
  1.15000000e+02  9.74853785e-01  2.47082144e-01  2.47082144e-01
  1.16000000e+02  9.85799879e-01  2.49052149e-01  2.49052149e-01
  1.17000000e+02  9.96382179e-01  2.50983569e-01  2.50983569e-01
  1.18000000e+02  1.00660060e+00  2.52876107e-01  2.52876107e-01
  1.19000000e+02  1.01644018e+00  2.54729355e-01  2.54729355e-01
  1.20000000e+02  1.02589343e+00  2.56543044e-01  2.56543044e-01
  1.21000000e+02  1.03494538e+00  2.58316681e-01  2.58316681e-01
  1.22000000e+02  1.04358855e+00  2.60049949e-01  2.60049949e-01
  1.23000000e+02  1.05181541e+00  2.61742475e-01  2.61742475e-01
  1.24000000e+02  1.05961103e+00  2.63393915e-01  2.63393915e-01
  1.25000000e+02  1.06697535e+00  2.65003935e-01  2.65003935e-01
  1.26000000e+02  1.07389342e+00  2.66572165e-01  2.66572165e-01
  1.27000000e+02  1.08036518e+00  2.68098354e-01  2.68098354e-01
  1.28000000e+02  1.08637570e+00  2.69582117e-01  2.69582117e-01
  1.29000000e+02  1.09192492e+00  2.71023151e-01  2.71023151e-01
  1.30000000e+02  1.09699792e+00  2.72421163e-01  2.72421163e-01
  1.31000000e+02  1.10159470e+00  2.73775896e-01  2.73775896e-01
  1.32000000e+02  1.10571558e+00  2.75087196e-01  2.75087196e-01
  1.33000000e+02  1.10934611e+00  2.76355581e-01  2.76355581e-01
  1.34000000e+02  1.11250154e+00  2.77581770e-01  2.77581770e-01
  1.35000000e+02  1.11515998e+00  2.78766822e-01  2.78766822e-01
  1.36000000e+02  1.11732926e+00  2.79911471e-01  2.79911471e-01
  1.37000000e+02  1.11900236e+00  2.81016408e-01  2.81016408e-01
  1.38000000e+02  1.12018710e+00  2.82082431e-01  2.82082431e-01
  1.39000000e+02  1.12087646e+00  2.83110304e-01  2.83110304e-01
  1.40000000e+02  1.12107084e+00  2.84100772e-01  2.84100772e-01
  1.41000000e+02  1.12078551e+00  2.85054464e-01  2.85054464e-01
  1.42000000e+02  1.12000600e+00  2.85972166e-01  2.85972166e-01
  1.43000000e+02  1.11874016e+00  2.86854575e-01  2.86854575e-01
  1.44000000e+02  1.11699581e+00  2.87702376e-01  2.87702376e-01
  1.45000000e+02  1.11476594e+00  2.88516207e-01  2.88516207e-01
  1.46000000e+02  1.11206580e+00  2.89296733e-01  2.89296733e-01
  1.47000000e+02  1.10890322e+00  2.90044673e-01  2.90044673e-01
  1.48000000e+02  1.10527861e+00  2.90760620e-01  2.90760620e-01
  1.49000000e+02  1.10119980e+00  2.91445379e-01  2.91445379e-01
  1.50000000e+02  1.09667461e+00  2.92100678e-01  2.92100678e-01
  1.51000000e+02  1.09171086e+00  2.92728374e-01  2.92728374e-01
  1.52000000e+02  1.08631623e+00  2.93330349e-01  2.93330349e-01
  1.53000000e+02  1.08050581e+00  2.93908266e-01  2.93908266e-01
  1.54000000e+02  1.07429468e+00  2.94463946e-01  2.94463946e-01
  1.55000000e+02  1.06768309e+00  2.94999121e-01  2.94999121e-01
  1.56000000e+02  1.06069354e+00  2.95515441e-01  2.95515441e-01
  1.57000000e+02  1.05332627e+00  2.96014596e-01  2.96014596e-01
  1.58000000e+02  1.04561119e+00  2.96498217e-01  2.96498217e-01
  1.59000000e+02  1.03754855e+00  2.96967944e-01  2.96967944e-01
  1.60000000e+02  1.02916084e+00  2.97425285e-01  2.97425285e-01
  1.61000000e+02  1.02046313e+00  2.97871830e-01  2.97871830e-01
  1.62000000e+02  1.01147049e+00  2.98309074e-01  2.98309074e-01
  1.63000000e+02  1.00221284e+00  2.98738529e-01  2.98738529e-01
  1.64000000e+02  9.92690390e-01  2.99161646e-01  2.99161646e-01
  1.65000000e+02  9.82925622e-01  2.99579840e-01  2.99579840e-01
  1.66000000e+02  9.72941018e-01  2.99994721e-01  2.99994721e-01
  1.67000000e+02  9.62759056e-01  3.00408587e-01  3.00408587e-01
  1.68000000e+02  9.52402207e-01  3.00823999e-01  3.00823999e-01
  1.69000000e+02  9.41892940e-01  3.01243243e-01  3.01243243e-01
  1.70000000e+02  9.31246289e-01  3.01668726e-01  3.01668726e-01
  1.71000000e+02  9.20492141e-01  3.02102753e-01  3.02102753e-01
  1.72000000e+02  9.09652946e-01  3.02547623e-01  3.02547623e-01
  1.73000000e+02  8.98751153e-01  3.03005540e-01  3.03005540e-01
  1.74000000e+02  8.87809201e-01  3.03478719e-01  3.03478719e-01
  1.75000000e+02  8.76864383e-01  3.03969281e-01  3.03969281e-01
  1.76000000e+02  8.65931722e-01  3.04479344e-01  3.04479344e-01
  1.77000000e+02  8.55048620e-01  3.05010964e-01  3.05010964e-01
  1.78000000e+02  8.44237640e-01  3.05566175e-01  3.05566175e-01
  1.79000000e+02  8.33521338e-01  3.06146944e-01  3.06146944e-01
  1.80000000e+02  8.22937118e-01  3.06755220e-01  3.06755220e-01
  1.81000000e+02  8.12514951e-01  3.07392927e-01  3.07392927e-01
  1.82000000e+02  8.02284798e-01  3.08061941e-01  3.08061941e-01
  1.83000000e+02  7.92269187e-01  3.08764217e-01  3.08764217e-01
  1.84000000e+02  7.82505493e-01  3.09502238e-01  3.09502238e-01
  1.85000000e+02  7.73031081e-01  3.10278418e-01  3.10278418e-01
  1.86000000e+02  7.63868456e-01  3.11095209e-01  3.11095209e-01
  1.87000000e+02  7.55048282e-01  3.11955025e-01  3.11955025e-01
  1.88000000e+02  7.46610873e-01  3.12860268e-01  3.12860268e-01
  1.89000000e+02  7.38587619e-01  3.13813244e-01  3.13813244e-01
  1.90000000e+02  7.31012874e-01  3.14816262e-01  3.14816262e-01
  1.91000000e+02  7.23918754e-01  3.15871593e-01  3.15871593e-01
  1.92000000e+02  7.17340338e-01  3.16981484e-01  3.16981484e-01
  1.93000000e+02  7.11311208e-01  3.18148149e-01  3.18148149e-01
  1.94000000e+02  7.05867167e-01  3.19373764e-01  3.19373764e-01
  1.95000000e+02  7.01044009e-01  3.20660486e-01  3.20660486e-01
  1.96000000e+02  6.96877517e-01  3.22010470e-01  3.22010470e-01
  1.97000000e+02  6.93404949e-01  3.23425829e-01  3.23425829e-01
  1.98000000e+02  6.90662072e-01  3.24908690e-01  3.24908690e-01
