# ell,Dl_TT (LCDM PR4 best-fit)
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.028303145245014321e+03
3.000000000000000000e+00,9.719828303610672720e+02
4.000000000000000000e+00,9.183653916244020365e+02
5.000000000000000000e+00,8.783880450719975670e+02
6.000000000000000000e+00,8.510517316610397529e+02
7.000000000000000000e+00,8.336258091199244973e+02
8.000000000000000000e+00,8.230992233331402304e+02
9.000000000000000000e+00,8.180487551217956934e+02
1.000000000000000000e+01,8.170070668486580416e+02
1.100000000000000000e+01,8.185735818791805514e+02
1.200000000000000000e+01,8.234382783665428178e+02
1.300000000000000000e+01,8.296912541243519854e+02
1.400000000000000000e+01,8.371552666858990506e+02
1.500000000000000000e+01,8.447754864886742325e+02
1.600000000000000000e+01,8.543110601395321737e+02
1.700000000000000000e+01,8.656096132488238482e+02
1.800000000000000000e+01,8.775303794382869000e+02
1.900000000000000000e+01,8.908287665244312166e+02
2.000000000000000000e+01,9.038890074980183726e+02
2.100000000000000000e+01,9.174049119134682542e+02
2.200000000000000000e+01,9.314027637973748597e+02
2.300000000000000000e+01,9.454976038313878917e+02
2.400000000000000000e+01,9.600101425261992745e+02
2.500000000000000000e+01,9.750705429273911022e+02
2.600000000000000000e+01,9.901852053719406968e+02
2.700000000000000000e+01,1.005765072944067583e+03
2.800000000000000000e+01,1.021642479242406921e+03
2.900000000000000000e+01,1.037736391389621758e+03
3.000000000000000000e+01,1.054239092545924905e+03
3.100000000000000000e+01,1.070544405372244910e+03
3.200000000000000000e+01,1.087458012194746743e+03
3.300000000000000000e+01,1.104454009507125647e+03
3.400000000000000000e+01,1.121512722062911735e+03
3.500000000000000000e+01,1.139207624756145833e+03
3.600000000000000000e+01,1.156631187845722479e+03
3.700000000000000000e+01,1.174314473544684006e+03
3.800000000000000000e+01,1.192370892178137183e+03
3.900000000000000000e+01,1.210701708749505087e+03
4.000000000000000000e+01,1.229223864991942037e+03
4.100000000000000000e+01,1.247849217558118198e+03
4.200000000000000000e+01,1.266580704815660283e+03
4.300000000000000000e+01,1.285431036588908000e+03
4.400000000000000000e+01,1.304450065239261903e+03
4.500000000000000000e+01,1.323702500506994511e+03
4.600000000000000000e+01,1.343154875288250878e+03
4.700000000000000000e+01,1.362789572555842142e+03
4.800000000000000000e+01,1.382579938388110349e+03
4.900000000000000000e+01,1.402514175737934465e+03
5.000000000000000000e+01,1.422647342745607830e+03
5.100000000000000000e+01,1.443038232978305359e+03
5.200000000000000000e+01,1.463634299932662998e+03
5.300000000000000000e+01,1.484364447195768207e+03
5.400000000000000000e+01,1.505209576272857021e+03
5.500000000000000000e+01,1.526165444697026942e+03
5.600000000000000000e+01,1.547343902806837605e+03
5.700000000000000000e+01,1.568845760040114556e+03
5.800000000000000000e+01,1.590627926127154751e+03
5.900000000000000000e+01,1.612602739517906230e+03
6.000000000000000000e+01,1.634749392527324972e+03
6.100000000000000000e+01,1.657074717904238923e+03
6.200000000000000000e+01,1.679584688949303199e+03
6.300000000000000000e+01,1.702298062529677736e+03
6.400000000000000000e+01,1.725218737192512890e+03
6.500000000000000000e+01,1.748372894862117164e+03
