# ell,Dl_TT,Dl_EE,Dl_TE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.021767740129258073e+03,3.108727143272487642e-02,2.636851056472621302e+00
3.000000000000000000e+00,9.677489449772024273e+02,3.998964074103611432e-02,2.958289469813762729e+00
4.000000000000000000e+00,9.158450219173081450e+02,3.479496719084649442e-02,2.776287293235197406e+00
5.000000000000000000e+00,8.771473542225677420e+02,2.332415632998300487e-02,2.366067169182660024e+00
6.000000000000000000e+00,8.507696105514513647e+02,1.309364945804880435e-02,1.907260801247673054e+00
7.000000000000000000e+00,8.340449391096840372e+02,7.074612370698217002e-03,1.499426053152671745e+00
8.000000000000000000e+00,8.240376599847045327e+02,4.540397587316354240e-03,1.186284694786676752e+00
9.000000000000000000e+00,8.193836672234143634e+02,3.630673596504226715e-03,9.733090032090216948e-01
1.000000000000000000e+01,8.186350075021114208e+02,3.098904695302356471e-03,8.525527568872768303e-01
1.100000000000000000e+01,8.204054004889700309e+02,2.616138764330097535e-03,8.066838745354820706e-01
1.200000000000000000e+01,8.254232129984845869e+02,2.293220487949442464e-03,8.167283897704170625e-01
1.300000000000000000e+01,8.317819448411287340e+02,2.206721450241911926e-03,8.590287903928780500e-01
1.400000000000000000e+01,8.393143067653827529e+02,2.297144531470090689e-03,9.123231116133190266e-01
1.500000000000000000e+01,8.469705995276392514e+02,2.481874406998198831e-03,9.688916948339334478e-01
1.600000000000000000e+01,8.565332930347479987e+02,2.739270395831475483e-03,1.030234189353731011e+00
1.700000000000000000e+01,8.678497646474984322e+02,3.112081926288061060e-03,1.093790666868153183e+00
1.800000000000000000e+01,8.797732700327052271e+02,3.644593257662875202e-03,1.158278382746323221e+00
1.900000000000000000e+01,8.930604887020109572e+02,4.340964870254115406e-03,1.226911111054377557e+00
2.000000000000000000e+01,9.060996819121259023e+02,5.179046254433070616e-03,1.294697361516256251e+00
2.100000000000000000e+01,9.195874414790002902e+02,6.151971653052273718e-03,1.366228308458209861e+00
2.200000000000000000e+01,9.335521817961454190e+02,7.270212506369228521e-03,1.441861421094221551e+00
2.300000000000000000e+01,9.476080362999830413e+02,8.526045911746242198e-03,1.518953622555680560e+00
2.400000000000000000e+01,9.620747671953223517e+02,9.916740067398415251e-03,1.594116593641435209e+00
2.500000000000000000e+01,9.770857189153239233e+02,1.144682438126683015e-02,1.659526192884120510e+00
2.600000000000000000e+01,9.921504432009386392e+02,1.312844947404598686e-02,1.718784209315053380e+00
2.700000000000000000e+01,1.007677607581982784e+03,1.497236683633154999e-02,1.772694663117145852e+00
2.800000000000000000e+01,1.023496975226241489e+03,1.697243401936594440e-02,1.816498561328666161e+00
2.900000000000000000e+01,1.039527977514196209e+03,1.915501921124915588e-02,1.855209846631969750e+00
3.000000000000000000e+01,1.055963917795979114e+03,2.154884684374111167e-02,1.882165231717321419e+00
3.100000000000000000e+01,1.072199490166254009e+03,2.415042298196976023e-02,1.908178750385658429e+00
3.200000000000000000e+01,1.089040726831497295e+03,2.697588675758417001e-02,1.928223973147889403e+00
3.300000000000000000e+01,1.105962990010591966e+03,2.998475525983485337e-02,1.940790340957020188e+00
3.400000000000000000e+01,1.122947692062517262e+03,3.320213691850416177e-02,1.946931777686543796e+00
3.500000000000000000e+01,1.140568780920295694e+03,3.663500519076606787e-02,1.937476653800449977e+00
3.600000000000000000e+01,1.157919145275082428e+03,4.031221730499027350e-02,1.922658222133132755e+00
3.700000000000000000e+01,1.175527743133563035e+03,4.425907067256436983e-02,1.896662832157262946e+00
3.800000000000000000e+01,1.193506035463166882e+03,4.846352990713605202e-02,1.861501746358486420e+00
3.900000000000000000e+01,1.211755417061648131e+03,5.291511377876714078e-02,1.816944387626033608e+00
4.000000000000000000e+01,1.230193454047225032e+03,5.760634668773528810e-02,1.761178723632636389e+00
4.100000000000000000e+01,1.248732560614898603e+03,6.253394785945516621e-02,1.692969558351099080e+00
4.200000000000000000e+01,1.267375924380779452e+03,6.771089780679689918e-02,1.613322097212011696e+00
4.300000000000000000e+01,1.286136432122050792e+03,7.315407483625380181e-02,1.523402547811761432e+00
4.400000000000000000e+01,1.305064099537245511e+03,7.887820322272798279e-02,1.422773221714837666e+00
4.500000000000000000e+01,1.324223794262293723e+03,8.489518490640657333e-02,1.310692018924022317e+00
4.600000000000000000e+01,1.343582227386809109e+03,9.121224569022733097e-02,1.186825984157379388e+00
4.700000000000000000e+01,1.363121891355621301e+03,9.782964109778390094e-02,1.050622217498875077e+00
4.800000000000000000e+01,1.382816229310440349e+03,1.047390149538850318e-01,9.014542976589259293e-01
4.900000000000000000e+01,1.402653535819152694e+03,1.119312679683703432e-01,7.387700977399500601e-01
5.000000000000000000e+01,1.422688936110091390e+03,1.194084387472737624e-01,5.621563876338881993e-01
5.100000000000000000e+01,1.442981219375812316e+03,1.271739805318429228e-01,3.715137160288539131e-01
5.200000000000000000e+01,1.463477595219829027e+03,1.352325512977478605e-01,1.677956581921718482e-01
5.300000000000000000e+01,1.484106660045462831e+03,1.435857683307708854e-01,-4.799077586347132163e-02
5.400000000000000000e+01,1.504848989090285613e+03,1.522359910432493080e-01,-2.756973895766172689e-01
5.500000000000000000e+01,1.525700008160304833e+03,1.611870635706744437e-01,-5.155454522153616326e-01
5.600000000000000000e+01,1.546771313069015378e+03,1.704360368077566801e-01,-7.684000118148608394e-01
