# ell,Dl_TT,Dl_EE,Dl_TE
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.018179559352189131e+03,3.038611600666664067e-02,2.613567251416847537e+00
3.000000000000000000e+00,9.652897692075690657e+02,3.917999631736310967e-02,2.932379654530024915e+00
4.000000000000000000e+00,9.141984575919904046e+02,3.418541681840304991e-02,2.753608780838661563e+00
5.000000000000000000e+00,8.760601903498694583e+02,2.298778121547978559e-02,2.349138070707273762e+00
6.000000000000000000e+00,8.500537567920011952e+02,1.294456989292479612e-02,1.896399744821710254e+00
7.000000000000000000e+00,8.335867540165096443e+02,7.004361646794649704e-03,1.493731933867098460e+00
8.000000000000000000e+00,8.237622495567775331e+02,4.490235767709330542e-03,1.183957190103302803e+00
9.000000000000000000e+00,8.192238868115025525e+02,3.588905280927983440e-03,9.731882687006574439e-01
1.000000000000000000e+01,8.185356787449783269e+02,3.069908221081660456e-03,8.539408860918270561e-01
1.100000000000000000e+01,8.203322266284042144e+02,2.600657488992609567e-03,8.090529598935050082e-01
1.200000000000000000e+01,8.253785135759929972e+02,2.286583137704053473e-03,8.198321088503800480e-01
1.300000000000000000e+01,8.317260859793717600e+02,2.205285281836322480e-03,8.622690531073541331e-01
1.400000000000000000e+01,8.392221290628758652e+02,2.302487623942456058e-03,9.158908381449415437e-01
1.500000000000000000e+01,8.468275744187754981e+02,2.496277383444031606e-03,9.737837077769018190e-01
1.600000000000000000e+01,8.563282571928227753e+02,2.763302695795016254e-03,1.036622031914861575e+00
1.700000000000000000e+01,8.675748368996418094e+02,3.145361761263890631e-03,1.101484584154343915e+00
1.800000000000000000e+01,8.794222491724577822e+02,3.686429043418425287e-03,1.166991846692474466e+00
1.900000000000000000e+01,8.926223613238867074e+02,4.391814150760180342e-03,1.236379113661144613e+00
2.000000000000000000e+01,9.055589091713133030e+02,5.240520601330267078e-03,1.304757211815524176e+00
2.100000000000000000e+01,9.189315983023639092e+02,6.225397357877923178e-03,1.377024526797217652e+00
2.200000000000000000e+01,9.327732075119946558e+02,7.356579860946069020e-03,1.453724247450213891e+00
2.300000000000000000e+01,9.466995979429545969e+02,8.627245659822747187e-03,1.531708154945892408e+00
2.400000000000000000e+01,9.610305760067586789e+02,1.003556168258910690e-02,1.607170539968873157e+00
2.500000000000000000e+01,9.758954330275516895e+02,1.158571275325835995e-02,1.672911739120466867e+00
2.600000000000000000e+01,9.908003622945318511e+02,1.328920750732961661e-02,1.733140330817818597e+00
2.700000000000000000e+01,1.006157548810150956e+03,1.515620918842473276e-02,1.788154500703090344e+00
2.800000000000000000e+01,1.021801506303792394e+03,1.718057696554407821e-02,1.832627859310846929e+00
2.900000000000000000e+01,1.037654473122007175e+03,1.939098639759894924e-02,1.871873327668723830e+00
3.000000000000000000e+01,1.053910569122333072e+03,2.181761753866389916e-02,1.899595896940767803e+00
3.100000000000000000e+01,1.069959286635797071e+03,2.445271936395933959e-02,1.926388703640643740e+00
3.200000000000000000e+01,1.086601620970450085e+03,2.730867894463204562e-02,1.946916545877883431e+00
3.300000000000000000e+01,1.103314575143678667e+03,3.034899417590778900e-02,1.959597765899934618e+00
3.400000000000000000e+01,1.120082582379656060e+03,3.360382791901344451e-02,1.965589201724281754e+00
3.500000000000000000e+01,1.137481454010430525e+03,3.708176973564532991e-02,1.956280513891180961e+00
3.600000000000000000e+01,1.154605343340994068e+03,4.081104184242192318e-02,1.942352906041528549e+00
3.700000000000000000e+01,1.171983235282273881e+03,4.481074053874628538e-02,1.917528943536738639e+00
3.800000000000000000e+01,1.189726321245933377e+03,4.906327381850392882e-02,1.883251431775837981e+00
3.900000000000000000e+01,1.207735778311532840e+03,5.356074793872991902e-02,1.839214377562875091e+00
4.000000000000000000e+01,1.225928967848208913e+03,5.830031079977984060e-02,1.783653593523546910e+00
4.100000000000000000e+01,1.244218220887252073e+03,6.328234429165320585e-02,1.715386522078484521e+00
4.200000000000000000e+01,1.262607128185245074e+03,6.851964830393839079e-02,1.635490177920741139e+00
4.300000000000000000e+01,1.281109101241476083e+03,7.402795968546649341e-02,1.545207371418845455e+00
4.400000000000000000e+01,1.299774680482546046e+03,7.982086123742875017e-02,1.444177017983501177e+00
4.500000000000000000e+01,1.318669258276124538e+03,8.590911341100870846e-02,1.331733622534743811e+00
4.600000000000000000e+01,1.337759922194266892e+03,9.229904120365478581e-02,1.207602472897452150e+00
4.700000000000000000e+01,1.357028948160784466e+03,9.899096211177528526e-02,1.071215461817839110e+00
4.800000000000000000e+01,1.376449414541895294e+03,1.059768226183905870e-01,9.219125988311223097e-01
4.900000000000000000e+01,1.396009251123357444e+03,1.132478260801514508e-01,7.591081888816246792e-01
5.000000000000000000e+01,1.415763218341996662e+03,1.208063137394693454e-01,5.823554346965740258e-01
5.100000000000000000e+01,1.435769945042557765e+03,1.286559854397283653e-01,3.915240032653886093e-01
5.200000000000000000e+01,1.455977298289211603e+03,1.368015216503400133e-01,1.875473270921258484e-01
5.300000000000000000e+01,1.476314736384146727e+03,1.452445061191305897e-01,-2.858504117458495961e-02
5.400000000000000000e+01,1.496763696443492563e+03,1.539872647152664142e-01,-2.567423614773390872e-01
5.500000000000000000e+01,1.517320466128905991e+03,1.630336080273009081e-01,-4.971633587706583146e-01
5.600000000000000000e+01,1.538097253826486622e+03,1.723804782600625862e-01,-7.507220761503943240e-01
