# l                Dl               -dDl             +dDl
# Planck PR4 / NPIPE best-fit TE spectra (Tristram+2021)
# doi:10.1051/0004-6361/202039585
  2.00000000e+00  2.65493339e+00  3.82861462e+00  3.82861462e+00
  3.00000000e+00  3.00392590e+00  2.97186059e+00  2.97186059e+00
  4.00000000e+00  2.83628385e+00  2.39372750e+00  2.39372750e+00
  5.00000000e+00  2.42918495e+00  1.78006865e+00  1.78006865e+00
  6.00000000e+00  1.96568430e+00  1.59988362e+00  1.59988362e+00
  7.00000000e+00  1.54849756e+00  1.27447398e+00  1.27447398e+00
  8.00000000e+00  1.22414202e+00  1.12837629e+00  1.12837629e+00
  9.00000000e+00  1.00022123e+00  1.24198381e+00  1.24198381e+00
  1.00000000e+01  8.70333718e-01  1.04458387e+00  1.04458387e+00
  1.10000000e+01  8.17858947e-01  9.58553373e-01  9.58553373e-01
  1.20000000e+01  8.23839630e-01  1.02405912e+00  1.02405912e+00
  1.30000000e+01  8.63979620e-01  1.03931907e+00  1.03931907e+00
  1.40000000e+01  9.16178790e-01  1.06488001e+00  1.06488001e+00
  1.50000000e+01  9.72228205e-01  1.05036223e+00  1.05036223e+00
  1.60000000e+01  1.03297466e+00  1.10506778e+00  1.10506778e+00
  1.70000000e+01  1.09550483e+00  1.05417849e+00  1.05417849e+00
  1.80000000e+01  1.15835908e+00  1.27676660e+00  1.27676660e+00
  1.90000000e+01  1.22488172e+00  1.15432856e+00  1.15432856e+00
  2.00000000e+01  1.29034087e+00  1.15749606e+00  1.15749606e+00
  2.10000000e+01  1.35981336e+00  1.26985883e+00  1.26985883e+00
  2.20000000e+01  1.43406627e+00  1.26013275e+00  1.26013275e+00
  2.30000000e+01  1.51034467e+00  1.33941282e+00  1.33941282e+00
  2.40000000e+01  1.58506763e+00  1.30108149e+00  1.30108149e+00
  2.50000000e+01  1.65041529e+00  1.36899345e+00  1.36899345e+00
  2.60000000e+01  1.70994994e+00  1.39722839e+00  1.39722839e+00
  2.70000000e+01  1.76404463e+00  1.48298695e+00  1.48298695e+00
  2.80000000e+01  1.80753197e+00  1.51719876e+00  1.51719876e+00
  2.90000000e+01  1.84550994e+00  1.54572172e+00  1.54572172e+00
  3.00000000e+01  1.87149445e+00  3.36000116e+00  3.36000116e+00
  3.10000000e+01  1.89639403e+00  3.34283249e+00  3.34283249e+00
  3.20000000e+01  1.91523733e+00  3.32791536e+00  3.32791536e+00
  3.30000000e+01  1.92652701e+00  3.31839810e+00  3.31839810e+00
  3.40000000e+01  1.93139602e+00  3.31226545e+00  3.31226545e+00
  3.50000000e+01  1.92105075e+00  3.30945480e+00  3.30945480e+00
  3.60000000e+01  1.90603860e+00  3.30964650e+00  3.30964650e+00
  3.70000000e+01  1.88026750e+00  3.31299478e+00  3.31299478e+00
  3.80000000e+01  1.84535852e+00  3.31911173e+00  3.31911173e+00
  3.90000000e+01  1.80081813e+00  3.32781292e+00  3.32781292e+00
  4.00000000e+01  1.74460280e+00  3.33891886e+00  3.33891886e+00
  4.10000000e+01  1.67532493e+00  3.35246062e+00  3.35246062e+00
  4.20000000e+01  1.59415377e+00  3.36807115e+00  3.36807115e+00
  4.30000000e+01  1.50249855e+00  3.38559280e+00  3.38559280e+00
  4.40000000e+01  1.40016399e+00  3.40509689e+00  3.40509689e+00
  4.50000000e+01  1.28665031e+00  3.42663742e+00  3.42663742e+00
  4.60000000e+01  1.16180228e+00  3.45001361e+00  3.45001361e+00
  4.70000000e+01  1.02498575e+00  3.47503239e+00  3.47503239e+00
  4.80000000e+01  8.75428265e-01  3.50177514e+00  3.50177514e+00
  4.90000000e+01  7.12431712e-01  3.53031681e+00  3.53031681e+00
  5.00000000e+01  5.35436919e-01  3.56045320e+00  3.56045320e+00
  5.10000000e+01  3.44228193e-01  3.59198499e+00  3.59198499e+00
  5.20000000e+01  1.39761605e-01  3.62499792e+00  3.62499792e+00
  5.30000000e+01  -7.69237340e-02  3.65957653e+00  3.65957653e+00
  5.40000000e+01  -3.05647841e-01  3.69553738e+00  3.69553738e+00
  5.50000000e+01  -5.46600335e-01  3.73269735e+00  3.73269735e+00
  5.60000000e+01  -8.00614404e-01  3.77130618e+00  3.77130618e+00
  5.70000000e+01  -1.06853274e+00  3.81142391e+00  3.81142391e+00
  5.80000000e+01  -1.35052116e+00  3.85283198e+00  3.85283198e+00
  5.90000000e+01  -1.64645795e+00  3.89531717e+00  3.89531717e+00
  6.00000000e+01  -1.95580540e+00  3.93896142e+00  3.93896142e+00
  6.10000000e+01  -2.27806842e+00  3.98395413e+00  3.98395413e+00
  6.20000000e+01  -2.61327912e+00  4.03029576e+00  4.03029576e+00
  6.30000000e+01  -2.96161621e+00  4.07787737e+00  4.07787737e+00
  6.40000000e+01  -3.32325097e+00  4.12665899e+00  4.12665899e+00
  6.50000000e+01  -3.69841410e+00  4.17660229e+00  4.17660229e+00
  6.60000000e+01  -4.08734864e+00  4.22766152e+00  4.22766152e+00
  6.70000000e+01  -4.48950782e+00  4.27980082e+00  4.27980082e+00
  6.80000000e+01  -4.90414179e+00  4.33297490e+00  4.33297490e+00
  6.90000000e+01  -5.33053042e+00  4.38714558e+00  4.38714558e+00
  7.00000000e+01  -5.76814670e+00  4.44226631e+00  4.44226631e+00
  7.10000000e+01  -6.21678409e+00  4.49829816e+00  4.49829816e+00
  7.20000000e+01  -6.67734698e+00  4.55520292e+00  4.55520292e+00
  7.30000000e+01  -7.15080026e+00  4.61294315e+00  4.61294315e+00
  7.40000000e+01  -7.63703912e+00  4.67148040e+00  4.67148040e+00
  7.50000000e+01  -8.13562445e+00  4.73078450e+00  4.73078450e+00
  7.60000000e+01  -8.64602169e+00  4.79081847e+00  4.79081847e+00
  7.70000000e+01  -9.16677938e+00  4.85155643e+00  4.85155643e+00
